,title1,page_url,title2,first_paragraph
0,Las Décadas Perdidas de América Latina,https://www.foreignaffairs.com/articles/south-america/2020-12-22/las-decadas-perdidas-de-america-latina,Las Décadas Perdidas de América Latina,"En los albores de la pandemia del coronavirus, allá por marzo del 2020, la ciudad de Guayaquil, capital económica de Ecuador y hogar de unas tres millones de personas, estaba en serios problemas. Por un giro del destino, más de 20.000 de sus habitantes acababan de regresar de sus vacaciones en el extranjero. Muchos habían llegado de Italia y España, dos de los principales focos del COVID-19 en Europa, donde se registraron los primeros y más mortíferos brotes de la enfermedad. El presidente ecuatoriano, Lenín Moreno, sabía que la amenaza era grave, pero inicialmente optó por no cerrar los aeropuertos del país. En cambio, le pidió a los viajeros que retornaban que se aislaran en sus casas. ""Si la gente hace su parte, creo que podemos controlarlo"", me comentó en su momento."
1,The End of the Wilsonian Era,https://www.foreignaffairs.com/articles/united-states/2020-12-08/end-wilsonian-era,The End of the Wilsonian Era,"One hundred years after the U.S. Senate humiliated President Woodrow Wilson by rejecting the Treaty of Versailles, Princeton University, which Wilson led as its president before launching his political career, struck his name from its famous school of international affairs. As “cancellations” go, this one is at least arguably deserved. Wilson was an egregious racist even by the standards of his time, and the man behind the persecution of his own political opponents and the abuses of the first Red Scare has been celebrated for far too long and far too uncritically."
2,The Reconstruction of America,https://www.foreignaffairs.com/articles/united-states/2020-12-08/reconstruction-america,The Reconstruction of America,"In 1882, Walt Whitman, the American poet of democracy and nearly everything else in the human spirit, worried that his book Specimen Days, compiled from jottings, diaries, and memorandums written during and after the Civil War, would be read as nothing but a “batch of convulsively written reminiscences.” But he decided to publish it anyway. The writings were “but parts of the actual distraction, heat, smoke and excitement of those times,” Whitman admitted. “The war itself, with the temper of society preceding it, can indeed be best described by that very word convulsiveness.”"
3,The World China Wants,https://www.foreignaffairs.com/articles/china/2020-12-08/world-china-wants,The World China Wants,"Does China want to transform the global order to advance its own interests and to reflect its own image? That may be the most important question in geopolitics today, yet the answers it elicits tend to reveal more about modern biases than they do about what a future Chinese superpower would look like. Those who want to project forward to a malevolent, expansionist China point to evidence of aggression in Beijing’s posture today. Those with a less apocalyptic view highlight more accommodating features in Chinese policy or note that China will face plenty of challenges that will keep it from reshaping the world even if it wants to. Many Western observers see a burgeoning new Cold War, with China serving as a twenty-first-century version of the Soviet Union."
4,"The Compatriots: The Brutal and Chaotic History of Russia’s Exiles, Émigrés, and Agents Abroad",https://www.foreignaffairs.com/reviews/capsule-review/compatriots-brutal-and-chaotic-history-russias-exiles-emigres-and-agents,"The Compatriots: The Brutal and Chaotic History of Russia’s Exiles, Émigrés, and Agents Abroad","The early Soviet government sent its agents abroad to trace and murder Russian political fugitives, including prominent figures of the anti-Bolshevik White movement defeated in the civil war and revolutionaries who fell afoul of the Bolsheviks—most notably Leon Trotsky, who was killed in Mexico City in 1940. But some émigrés served Soviet interests. For instance, many Russian Jews who had fled pogroms in tsarist Russia often sympathized with communist ideas and were easily recruited to become Soviet spies. The authors, both journalists, draw on historical material and their own extensive reporting to show how governments in Moscow from the early Bolsheviks to Russian President Vladimir Putin’s Kremlin have treated Russian emigration as both a threat and an opportunity. They chronicle Putin’s efforts to build a patriotic diaspora that would advance his government’s interests in the West. Political émigrés who engage in anti-Kremlin lobbying abroad, the authors argue, may risk an attack on their lives, similar to the earlier Bolshevik ones. The authors’ emphasis on the sinister continuity of the methods used by the Russian secret police may seem a bit overdone, but the poisoning (less than a year after the book’s publication) of the Kremlin’s most vocal and fearless critic, Alexei Navalny, provides strong backing for their argument."
5,The Lenin Plot: The Unknown Story of America’s War Against Russia,https://www.foreignaffairs.com/reviews/capsule-review/lenin-plot-unknown-story-americas-war-against-russia,The Lenin Plot: The Unknown Story of America’s War Against Russia,"Soon after the 1917 Russian Revolution, the Bolshevik leader Vladimir Lenin made peace with Germany and in so doing turned Russia into an existential enemy of Western powers and a traitor to the World War I anti-German alliance. France, the United Kingdom, and the United States intervened with the intention of overthrowing the Bolshevik government and plotted to kill Lenin and his main associates. Carr’s account reads like a thriller—as Western spies conspire with reckless adventurers and professional Russian terrorists—set against the backdrop of a tumultuous period, with Russia racked by civil war, violence, starvation, and epidemics. Leftist radicals assassinated the German ambassador inside his Moscow embassy in 1918, the same year Bolsheviks murdered the tsar’s family in the Urals. Lenin survived an attempt on his life, an attack that was probably unrelated to Western plans to kill him. The Western plot came to an end after the Cheka, the Bolshevik security police, infiltrated the ranks of the plotters and arrested many of its members. In 1921, in return for U.S. aid, the Bolshevik government handed over 100 Americans who were involved in this futile bid to snuff out the Soviet Union in its infancy."
6,"Politics for Profit: Business, Elections, and Policymaking in Russia",https://www.foreignaffairs.com/reviews/capsule-review/politics-profit-business-elections-and-policymaking-russia,"Politics for Profit: Business, Elections, and Policymaking in Russia","Businesspeople commonly rely on lobbying or making campaign contributions to win favorable policies from governments. But in states with weaker political institutions, politicians tend to renege on their promises. This may drive businesspeople to run for office themselves, despite the high costs required for winning and holding elected offices and the risk of unwanted public attention. Szakonyi’s work of political economy studies Russian businesspeople who seek elected positions in regional legislatures. Only larger and wealthier firms can afford the high costs of winning elections. Competition motivates some businesspeople; if an executive from a firm’s rival runs for office, then that firm must also seek to place its own “in-house lobbyist” in the legislature. Szakonyi identifies the advantages companies gain by participating in local politics: firms connected to winning candidates significantly increase their revenue and profit margins. Not surprisingly, these businesspeople turned legislators pursue pro-business policies that evince little concern for the needs of ordinary citizens, such as health care or education. The author draws on a broad range of data, including numerous interviews with regional businesspeople. His rigorous scientific methods complement an enjoyable and convincing narrative."
7,Moscow Monumental: Soviet Skyscrapers and Urban Life in Stalin’s Capital,https://www.foreignaffairs.com/reviews/capsule-review/moscow-monumental-soviet-skyscrapers-and-urban-life-stalins-capital,Moscow Monumental: Soviet Skyscrapers and Urban Life in Stalin’s Capital,"After World War II, the Soviet leader Joseph Stalin ordered Moscow to be reinvented as “the capital of all capitals.” Zubovich’s fascinating history of skyscrapers in Moscow goes far beyond architectural design and looks at the social and political ramifications of Stalin’s monument building. These structures were conceived as symbols of the Soviet Union’s postwar might and self-confidence. In order to clear sites for the construction of the skyscrapers, authorities resettled tens of thousands of Muscovites in hastily built housing in the city’s barren outskirts. The labor force mobilized to erect the vysotki (high-rises) included construction workers from across the Soviet Union, as well as many thousands of prisoners from the gulag. Once completed, the vysotki laid bare late-Stalinist social hierarchies: in a city of acute housing shortages, the comfortable apartments in the skyscrapers were reserved exclusively for artistic, academic, and government elites. After Stalin’s death, the vysotki became a target of his successor Nikita Khrushchev’s de-Stalinization efforts. The new Soviet leader, who soon launched a nationwide housing program, harshly criticized Stalin’s monumental building efforts for their disregard for building costs, their complete neglect of the population’s urgent housing needs, and the excessive embellishments of the skyscrapers themselves."
8,Two Books on Movements for Social Change in Latin America,https://www.foreignaffairs.com/reviews/capsule-review/two-books-movements-social-change-latin-america,Two Books on Movements for Social Change in Latin America,"Two books examine the recent history of movements for social change in Latin America. From the late 1990s until around 2015, voters in Latin America swept social democratic and national populist candidates into government—a trend known as “the pink tide.” More recently, voters in many countries have returned conservatives to power. In Balán and Montambeault’s timely collection, political scientists and sociologists (but no economists) seek to determine the extent to which left-leaning governments met their stated goals of economic redistribution, popular participation, and social inclusion. The record tends, not surprisingly, to be mixed in this increasingly heterogeneous region. The differences in performance between center-right and center-left governments in some areas are less pronounced than their mutual distance from more radical, populist governments (such as those that have ruled Bolivia, Ecuador, and Venezuela). Given the inflated expectations and the many constraints that reformers faced (powerful vested interests, weak state capacity, and punishing global markets), these governments would seem to have been preordained to disappoint the authors. But the contributors pay insufficient attention to why voters abandoned the left. When the pendulum swings back again (as has already occurred in Bolivia), social reformers will want to avoid repeating the same mistakes."
9,Lula and His Politics of Cunning: From Metalworker to President of Brazil,https://www.foreignaffairs.com/reviews/capsule-review/lula-and-his-politics-cunning-metalworker-president-brazil,Lula and His Politics of Cunning: From Metalworker to President of Brazil,"A longtime observer of Brazilian labor organizations, French delivers an immersive and broadly laudatory biography of former Brazilian President Luiz Inácio Lula da Silva, whom U.S. President Barack Obama once hailed as “the most popular politician on earth.” French adroitly traces Lula’s beginnings as an impoverished rural migrant in industrializing São Paulo, where he became a skilled metalworker, and then his evolution into a determined trade union leader, a savvy negotiator, and, ultimately, a powerful orator and dominant politician. Lula is a genuinely self-made man, gregarious and hard-working, at once studious and intuitive. As a politician, he retained his authenticity as the plain-speaking, fearless voice of Brazilian workers seeking upward social mobility. French attributes Lula’s charisma to his embodiment of the collective identity of organized workers. He defines Lula’s cunning as the underdog’s crafty manipulation of social hierarchies. But French notes approvingly that Lula kept his distance from the intellectual Marxist left; a pragmatic Lula sought simply to make capitalism more egalitarian. French mocks the politically motivated post-presidency imprisonment of Lula, and he bemoans the ouster in 2016 of Lula’s handpicked successor, Dilma Rousseff, by an unscrupulous parliamentary coup organized by the old-line establishment, which paved the way for the presidency of the reactionary Jair Bolsonaro."
